Q1 Answer: A, C, D
Q2 Answer: A, B
Q442 Answer: A, B, C
Q443 Answer: B, C
Q444 Answer: A, D
Q445 Answer: B, D
Q446 Answer: B, D
Q447 Answer: C, D
Q448 Answer: B, C
Q449 Answer: A, C
Q450 Answer: A, D
Q451 Answer: C, D
Q452 Answer: B, D
Q453 Answer: B, C
Q454 Answer: A, D
Q455 Answer: B, D
Q456 Answer: A, C
Q457 Answer: A, D
Q458 Answer: A, B
Q459 Answer: C, D
Q460 Answer: B, D
Q461 Answer: B, C
Q462 Answer: C, D
Q463 Answer: A, C
Q464 Answer: B, C
Q465 Answer: B, C
Q466 Answer: B, C
Q467 Answer: B, D
Q468 Answer: B, D
Q469 Answer: A, C
Q470 Answer: A, D
Q471 Answer: A, C
Q472 Answer: C, D
Q473 Answer: A, C
Q474 Answer: A, C
Q475 Answer: B, C
Q476 Answer: B, C
Q477 Answer: A, B
Q478 Answer: A, D
Q479 Answer: A, D
Q480 Answer: A, B
Q481 Answer: B, C
Q482 Answer: A, B
Q483 Answer: A, D
Q484 Answer: B, D
Q485 Answer: A, D
Q486 Answer: B, C
Q487 Answer: B, C
Q488 Answer: B, D
Q489 Answer: A, C
Q490 Answer: C, D
Q491 Answer: A, C
Q492 Answer: A, C
Q493 Answer: B, C
Q494 Answer: B, D
Q495 Answer: C, D
Q496 Answer: B, C
Q497 Answer: A, B
Q498 Answer: A, D
Q499 Answer: B, D
Q500 Answer: A, B
Q501 Answer: B, C
Q502 Answer: B, C
Q503 Answer: B, D
Q504 Answer: A, B
Q505 Answer: C, D
Q506 Answer: A, C
Q507 Answer: C, D
Q508 Answer: B, C
Q509 Answer: A, C
Q510 Answer: B, D
Q511 Answer: B, D
Q512 Answer: A, D
Q513 Answer: A, C
Q514 Answer: B, C
Q515 Answer: A, C
Q516 Answer: B, D
Q517 Answer: A, C
Q518 Answer: A, C
Q519 Answer: B, D
Q520 Answer: C, D
Q521 Answer: A, C
Q522 Answer: C, D
Q523 Answer: B, C
Q524 Answer: A, C, D
Q525 Answer: B, D
Q526 Answer: A, D
Q527 Answer: A, C
Q528 Answer: B, D
Q529 Answer: C, D
Q530 Answer: A, C
Q531 Answer: B, C
Q532 Answer: A, B
Q533 Answer: A, C
Q534 Answer: A, B
Q535 Answer: B, D
Q536 Answer: C, D
Q537 Answer: A, B
Q538 Answer: B, C
Q539 Answer: B, D
Q540 Answer: B, D
Q541 Answer: C, D
Q542 Answer: A, B
Q543 Answer: B, C
Q544 Answer: A, C
Q545 Answer: A, B
Q546 Answer: B, C
Q547 Answer: B, C
Q548 Answer: A, D
Q549 Answer: A, C
Q550 Answer: B, D
Q551 Answer: B, C
Q552 Answer: B, D
Q553 Answer: A, C
Q554 Answer: B, C
Q555 Answer: B, D
Q556 Answer: B, D
Q557 Answer: B, D
Q558 Answer: A, B, C
Q559 Answer: B, C
Q560 Answer: B, D
Q561 Answer: A, D
Q562 Answer: C, D
Q563 Answer: C, D
Q564 Answer: A, C
Q565 Answer: A, D
Q566 Answer: A, B
Q567 Answer: A, D
Q568 Answer: B, D
Q569 Answer: A, D
Q570 Answer: A, B
Q571 Answer: B, C
Q572 Answer: B, C
Q573 Answer: C, D
Q574 Answer: B, D
Q575 Answer: A, C
Q576 Answer: A, B
Q577 Answer: A, B
Q578 Answer: A, B
Q579 Answer: B, C
Q580 Answer: A, C
Q581 Answer: A, C
Q582 Answer: B, D
Q583 Answer: B, D
Q584 Answer: A, B
Q585 Answer: A, C
Q586 Answer: B, C
Q587 Answer: A, B
Q588 Answer: C, D
Q589 Answer: A, B
Q590 Answer: A, D
Q591 Answer: C, D
Q592 Answer: A, D
Q593 Answer: B, C
Q594 Answer: A, C
Q595 Answer: A, B
Q596 Answer: B, C
Q597 Answer: A, B
Q598 Answer: A, D
Q599 Answer: A, C
Q600 Answer: C, D
Q601 Answer: C, D
Q602 Answer: A, B
Q603 Answer: A, B
Q604 Answer: A, C
Q605 Answer: C, D
Q606 Answer: A, D
Q607 Answer: B, C
Q608 Answer: A, B
Q609 Answer: A, B
Q610 Answer: B, C
Q611 Answer: B, C
Q612 Answer: B, D
Q613 Answer: A, D
Q614 Answer: B, C
Q615 Answer: A, B
Q616 Answer: A, B
Q617 Answer: A, B
Q618 Answer: A, C
Q619 Answer: B, D
Q620 Answer: C, D
Q621 Answer: B, C
Q622 Answer: A, B
Q623 Answer: A, B
Q624 Answer: B, C
Q625 Answer: B, D
Q626 Answer: C, D
Q627 Answer: A, D
Q628 Answer: A, B
Q629 Answer: A, B
Q630 Answer: B, C
Q631 Answer: B, D
Q632 Answer: B, D
Q633 Answer: A, D
Q634 Answer: A, C
Q635 Answer: C, D
Q636 Answer: A, C
Q637 Answer: B, D
Q638 Answer: B, C
Q639 Answer: A, D
Q640 Answer: A, C
Q641 Answer: A, C
Q642 Answer: A, C
Q643 Answer: A, B
Q644 Answer: B, C
Q645 Answer: A, C
Q646 Answer: B, D
Q647 Answer: A, C
Q648 Answer: B, C
Q649 Answer: B, C
Q650 Answer: A, C
Q651 Answer: A, D
Q652 Answer: B, C
Q653 Answer: B, C
Q654 Answer: B, D
Q655 Answer: A, D
Q656 Answer: A, B
Q657 Answer: B, D
Q658 Answer: A, B
Q659 Answer: A, C
Q660 Answer: B, C
Q661 Answer: B, C
Q662 Answer: A, D
Q663 Answer: B, D
Q664 Answer: A, C
Q665 Answer: A, C
Q666 Answer: B, D
Q667 Answer: B, D
Q668 Answer: A, D
Q669 Answer: A, D
Q670 Answer: A, C
Q671 Answer: B, D
Q672 Answer: A, C
Q673 Answer: A, C
Q674 Answer: B, D
Q675 Answer: B, C
Q676 Answer: B, D
Q677 Answer: B, D
Q678 Answer: B, C
Q679 Answer: B, C
Q680 Answer: A, B
Q681 Answer: A, B
Q682 Answer: B, D
Q683 Answer: A, D
Q684 Answer: A, D
Q685 Answer: B, C
Q686 Answer: A, B
Q687 Answer: C, D
Q688 Answer: A, C
Q689 Answer: A, D
Q690 Answer: A, B
Q691 Answer: B, C
Q692 Answer: A, C
Q693 Answer: A, B
Q694 Answer: C, D
Q695 Answer: A, B
Q696 Answer: A, B
Q697 Answer: A, C
Q698 Answer: B, D
Q699 Answer: B, D
Q700 Answer: A, B
Q701 Answer: A, C
Q702 Answer: C, D
Q703 Answer: C, D
Q704 Answer: A, B
Q705 Answer: A, B
Q706 Answer: B, C
Q707 Answer: A, C
Q708 Answer: A, B
Q709 Answer: B, C
Q710 Answer: C, D
Q711 Answer: A, D
Q712 Answer: A, D
Q713 Answer: A, D
Q714 Answer: A, D
Q715 Answer: A, B
Q716 Answer: B, C
Q717 Answer: B, D
Q718 Answer: B, D
Q719 Answer: B, C
Q720 Answer: B, D
Q721 Answer: B, C
Q722 Answer: C, D
Q723 Answer: B, D
Q724 Answer: B, D
Q725 Answer: B, D
Q726 Answer: A, B
Q727 Answer: B, C
Q728 Answer: B, D
Q729 Answer: C, D
Q730 Answer: C, D
Q731 Answer: B, D
Q732 Answer: B, C
Q733 Answer: A, C
Q734 Answer: A, D
Q735 Answer: A, D
Q736 Answer: C, D
Q737 Answer: A, B
Q738 Answer: A, B
Q739 Answer: C, D
Q740 Answer: B, C
Q741 Answer: A, C
Q742 Answer: B, C
Q743 Answer: C, D
Q744 Answer: C, D
Q745 Answer: C, D
Q746 Answer: B, C
Q747 Answer: A, D
Q748 Answer: B, D
Q749 Answer: A, D
Q750 Answer: A, D
Q751 Answer: B, C
Q752 Answer: C, D
Q753 Answer: B, D
Q754 Answer: A, C
Q755 Answer: A, C
Q756 Answer: B, D
Q757 Answer: A, D
Q758 Answer: A, B
Q759 Answer: A, D
Q760 Answer: A, D
Q761 Answer: A, D
Q762 Answer: A, C
Q763 Answer: B, D
Q764 Answer: C, D
Q765 Answer: C, D
Q766 Answer: A, C
Q767 Answer: B, C
Q768 Answer: A, C
Q769 Answer: B, D
Q770 Answer: A, B
Q771 Answer: B, C
Q772 Answer: A, D
Q773 Answer: B, C
Q774 Answer: B, C
Q775 Answer: B, D
Q776 Answer: B, D
Q777 Answer: B, D
Q778 Answer: B, D
Q779 Answer: A, D
Q780 Answer: B, C
Q781 Answer: A, C
Q782 Answer: C, D
Q783 Answer: A, B
Q784 Answer: C, D
Q785 Answer: A, B
Q786 Answer: C, D
Q787 Answer: B, D
Q788 Answer: C, D
Q789 Answer: C, D
Q790 Answer: A, C
Q791 Answer: A, B
Q792 Answer: B, D
Q793 Answer: A, C
Q794 Answer: A, B
Q795 Answer: C, D
Q796 Answer: A, C
Q797 Answer: A, C
Q798 Answer: C, D
Q799 Answer: B, D
Q800 Answer: A, B
Q801 Answer: A, C
Q802 Answer: A, B
Q803 Answer: A, B
Q804 Answer: B, C
Q805 Answer: C, D
Q806 Answer: A, B
Q807 Answer: B, C
Q808 Answer: B, C
Q809 Answer: B, C
Q810 Answer: C, D
Q811 Answer: B, C
Q812 Answer: A, B
Q813 Answer: B, C
Q814 Answer: B, D
Q815 Answer: A, C
Q816 Answer: B, C
Q817 Answer: B, D
Q818 Answer: C, D
Q819 Answer: A, B
Q820 Answer: A, C
Q821 Answer: C, D
Q822 Answer: B, C
Q823 Answer: A, B
Q824 Answer: B, D
Q825 Answer: A, C
Q826 Answer: A, C
Q827 Answer: A, C
Q828 Answer: C, D
Q829 Answer: B, C
Q830 Answer: A, B
Q831 Answer: C, D
Q832 Answer: A, D
Q833 Answer: A, B
Q834 Answer: A, D
Q835 Answer: A, B
Q836 Answer: A, B
Q837 Answer: A, B
Q838 Answer: B, C
Q839 Answer: A, B
Q840 Answer: A, D
Q841 Answer: C, D
Q842 Answer: A, B
Q843 Answer: C, D
Q844 Answer: B, D
Q845 Answer: C, D
Q846 Answer: A, B
Q847 Answer: A, B
Q848 Answer: B, D
Q849 Answer: B, D
Q850 Answer: A, B
Q851 Answer: A, D
Q852 Answer: A, D
Q853 Answer: A, B
Q854 Answer: B, C
Q855 Answer: B, C
Q856 Answer: A, B
Q857 Answer: A, B
Q858 Answer: A, B
Q859 Answer: C, D
Q860 Answer: B, D
Q861 Answer: B, C
Q862 Answer: A, B
Q863 Answer: C, D
Q864 Answer: A, B
Q865 Answer: C, D
Q866 Answer: A, C
Q867 Answer: A, D
Q868 Answer: B, D
Q869 Answer: C, D
Q870 Answer: B, C
Q871 Answer: B, D
Q872 Answer: C, D
Q873 Answer: C, D
Q874 Answer: A, C
Q875 Answer: A, B
Q876 Answer: A, C
Q877 Answer: B, C
Q878 Answer: B, D
Q879 Answer: B, C
Q880 Answer: B, C
Q881 Answer: A, B
Q882 Answer: A, C
Q883 Answer: C, D
Q884 Answer: C, D
Q885 Answer: B, C
Q886 Answer: A, C
Q887 Answer: C, D
Q888 Answer: A, C
Q889 Answer: C, D
Q890 Answer: B, C
Q891 Answer: B, C
Q892 Answer: A, C
Q893 Answer: B, C
Q894 Answer: A, D
Q895 Answer: A, B
Q896 Answer: B, C
Q897 Answer: B, C
Q898 Answer: A, C
Q899 Answer: A, B
Q900 Answer: B, D
Q901 Answer: A, B
Q902 Answer: A, C
Q903 Answer: B, C
Q904 Answer: C, D
Q905 Answer: A, D
Q906 Answer: A, B
Q907 Answer: B, C
Q908 Answer: B, C
Q909 Answer: B, C
Q910 Answer: B, D
Q911 Answer: A, D
Q912 Answer: B, D
Q913 Answer: B, C
Q914 Answer: A, B
Q915 Answer: A, B
Q916 Answer: A, D
Q917 Answer: B, C
Q918 Answer: A, C
Q919 Answer: C, D
Q920 Answer: B, C
Q921 Answer: A, C
Q922 Answer: A, C
Q923 Answer: A, B
Q924 Answer: A, C
Q925 Answer: A, D
Q926 Answer: B, D
Q927 Answer: B, D
Q928 Answer: B, D
Q929 Answer: A, D
Q930 Answer: B, D
Q931 Answer: A, B
Q932 Answer: C, D
Q933 Answer: C, D
Q934 Answer: A, D
Q935 Answer: A, B
Q936 Answer: B, C
Q937 Answer: A, D
Q938 Answer: A, C
Q939 Answer: A, C
Q940 Answer: B, D
Q941 Answer: C, D
Q942 Answer: A, B
Q943 Answer: C, D
Q944 Answer: A, C
Q945 Answer: A, C
Q946 Answer: B, C
Q947 Answer: B, D
Q948 Answer: C, D
Q949 Answer: C, D
Q950 Answer: B, D
Q951 Answer: A, D
Q952 Answer: B, D
Q953 Answer: B, C
Q954 Answer: B, D
Q955 Answer: A, B
Q956 Answer: B, D
Q957 Answer: B, C
Q958 Answer: C, D
Q959 Answer: A, C
Q960 Answer: B, C
Q961 Answer: B, C
Q962 Answer: A, D
Q963 Answer: B, D
Q964 Answer: B, D
Q965 Answer: B, D
Q966 Answer: B, D
Q967 Answer: A, D
Q968 Answer: A, D
Q969 Answer: C, D
Q970 Answer: A, D
Q971 Answer: A, B
Q972 Answer: A, C
Q973 Answer: B, D
Q974 Answer: A, B
Q975 Answer: B, C
Q976 Answer: A, B
Q977 Answer: A, C
Q978 Answer: A, C
Q979 Answer: A, B
Q980 Answer: A, B
Q981 Answer: C, D
Q982 Answer: A, C
Q983 Answer: B, C
Q984 Answer: A, C
Q985 Answer: B, D
Q986 Answer: A, C
Q987 Answer: B, C
Q988 Answer: A, C
Q989 Answer: C, D
Q990 Answer: B, C
Q991 Answer: A, C
Q992 Answer: B, D
Q993 Answer: A, B
Q994 Answer: A, C
Q995 Answer: A, C
Q996 Answer: A, C
Q997 Answer: B, C
Q998 Answer: A, C
Q999 Answer: A, B
Q1000 Answer: A, B
